TYPE,NAME,,PROPERTIES:,Definition,,
Subsector,Gas Distribution,,,"Distributors of gas to end users. Excludes providers of natural gas as a commodity, which are classified under the Oil and Gas industry.",,!
Subsector,Water,,,"Companies providing water to end users, including water treatment plants.",,!
Sector,Waste and Disposal Services,,,,,!
Subsector,Waste and Disposal Services,,,"Providers of pollution control and environmental services for the management, recovery and disposal of solid and hazardous waste materials, such as landfills and recycling centers. Excludes manufacturers of industrial air and water filtration equipment, which are classified under Industrial Machinery.",,!
Layer,ICB Codes,,,,,!
Industry,Technology 10,,,,,!
Sector,1010,,,,,
Sector,101010,,,,,
Subsector,10101010,,,Computer Services,"Companies that provide consulting or integration services to other businesses relating to information technology. Includes providers of computer-system design, systems integration, network and systems operations, cloud computing, distributed ledger technology (DLT) consulting and integration, data management and storage, repair services and technical support.",
Subsector,10101015,,,Software,"Publishers and distributors of computer software for home or corporate use. Excludes computer game producers, which are classified under Electronic Entertainment.",
Subsector,10101020,,,Consumer Digital Services,"Companies involved in digital platforms that primarily generate revenue from advertising, content delivery and other virtual products for consumers. To a lesser extent they generate subscription fee revenue through related services offered by the platform and/or by the advertisers to utilize data content and customer insight.",
Sector,101020,,,,,
Subsector,10102010,,,Semiconductors,"Producers and distributors of semiconductors and other integrated chips, including other products related to the semiconductor industry, such as semiconductor capital equipment and motherboards.  Excludes makers of printed circuit boards, which are classified under Electronic Components",
Subsector,10102015,,,Electronic Components,"Companies involved in the application of high-technology parts to finished products, including printed circuit boards. Excludes communications-related equipment, which are classified under Telecommunications Equipment Subsector and technology parts for consumer electronics, which are classified under Electrical Components.",
Subsector,10102020,,,Production Technology Equipment,"Manufactures of high-technology tools and/or equipments that are used in the creation of semiconductors, photonics, wafers, and other high-technology components.",
Subsector,10102030,,,Computer Hardware,"Manufacturers and distributors of computers, servers, mainframes, workstations and other computer hardware and subsystems, such as mass-storage drives, mice, keyboards and printers. Companies in this Sector can provide diverse applications for consumer and commercial use. Including companies providing computing hardware for cryptocurrency mining.",
Subsector,10102035,,,Electronic Office Equipment,"Manufacturers and distributors of electronic office equipment, including photocopiers and fax machines.",
Industry,Telecommunication 15,,,,,
Sector,1510,,,,,
Sector,151010,,,,,
Subsector,15101010,,,Telecommunications Equipment,"Makers and distributors of high-technology communication products, including mobile telephones, fibers optics, switching devices, local and wide-area networks, teleconferencing equipment and connectivity devices for computers, including hubs and routers.",
Sector,151020,,,,,
Subsector,15102010,,,Cable Television Services,"Companies that primarily distribute media content through their own cable and wireless network infrastructure, such as wired cable, fiber-optic, and satellite networks.",
Subsector,15102015,,,Telecommunications Services,"Providers of mobile and fixed-line telephone services, paging services, and VOIP providers. Including companies that own and operate telecommunication assets. Telecommunication Services companies can also provide supplemental services such as direct internet access, VPN services, colocation services and transit services.",
Industry,Health Care 20,,,,,
Sector,2010,,,,,
Sector,201010,,,,,
Subsector,20101010,,,Health Care Facilities,"Owners and operators of primary healthcare property, community hospitals, retirement homes, nursing homes, and related medical businesses.",
Subsector,20101020,,,Health Care Management Services,"Companies that offers managed health care benefits and services (e.g., Health Management Organizations (HMO) including state sponsored programs",
Subsector,20101025,,,Health Care Services,"Companies that provide various specialized disease management services to physicians, health plans, and hospitals. Primary business lines in this category can also include general consultation services, paramedical services, operation of health portals and distribution of health food products.",
Subsector,20101030,,,Health Care: Misc.,"Includes Healthcare companies that are not classified in the Healthcare Facilities, Healthcare Management Services or Healthcare Services",
Sector,201020,,,,,
Subsector,20102010,,,Medical Equipment,"Manufacturers and distributors of medical devices such as MRI scanners, prosthetics, pacemakers, X-ray machines and other non-disposable medical devices.",
Subsector,20102015,,,Medical Supplies,"Manufacturers and distributors of medical supplies used by health care providers and the general public. Includes makers of contact lenses, eyeglass lenses, bandages and other disposable medical supplies.",
Subsector,20102020,,,Medical Services,Companies that operate and manage medical labs and testing services.,
Sector,201030,,,,,
Subsector,20103010,,,Biotechnology,"Companies engaged in research into and development of biological substances for the purposes of drug discovery and diagnostic development, and which derive the majority of their revenue from either the sale or licensing of these drugs and diagnostic tools.",
Subsector,20103015,,,Pharmaceuticals,"Manufacturers of prescription or over-the-counter drugs, such as aspirin, cold remedies and birth control pills. Includes vaccine producers but excludes vitamin producers, which are classified under Food Products.",
Subsector,20103020,,,Cannabis Producers,"Companies that engage in cannabis cultivation, cannabis distribution including dispensaries, the processing and distribution of cannabis plants, and the creation of cannabis derivative products.  Companies that primarily engage in the research, development and manufacturing of cannabis (THC/CBD) based drugs are classified in the Biotechnology or the Pharmaceuticals Subsector.",
Industry,Financials 30,,,,,
Sector,3010,,,,,
Sector,301010,,,,,
Subsector,30101010,,,Banks,Primary activities involve retail banking and/or commercial banking. Attracts deposits from the general public and provide various financial services.,
Sector,3020,,,,,
Sector,302010,,,,,
Subsector,30201020,,,Consumer Lending,"Companies that provide financial services to consumers including payday loans, student loans, automobile loans, etc.",
Subsector,30201025,,,Mortgage Finance,"Companies that provide mortgages, mortgage insurance and other related services",
Subsector,30201030,,,Financial Data Providers,Companies provide financial decision support tools for investment institutions. Including financial database operators and index data providers.,
Sector,302020,,,,,
Subsector,30202000,,,Diversified Financial Services,"Companies providing a diversified range of services such as  investment banking, trading, and asset management. Diversified Investment Holding companies engaged in acquiring equity stake of listed securities are also classified in this Sector.",
Subsector,30202010,,,Asset Managers and Custodians,"Companies that provide custodial, trustee and other related fiduciary services. i.e. mutual fund and private investment management. Also includes companies engaged in private equity and venture capital.",
Subsector,30202015,,,Investment Services,"Companies that provide trading and brokerage services for financial assets such as equities, commodities, debts, currency, cryptocurrency. Also includes the operators of stock, currency, and other financial market exchanges.",
Sector,302030,,,,,
Subsector,30203000,,,Mortgage REITs: Diversified,Mortgage REITs that invest in a combination of segments with no specific dominance over one or the other,
Subsector,30203010,,,Mortgage REITs: Commercial,"REITs primarily involved in lending money to commercial real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets",
Subsector,30203020,,,Mortgage REITs: Residential,"REITs primarily involved in lending money to residential real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets",
Sector,302040,,,,,
Subsector,30204000,,,Closed End Investments,"Corporate closed-ended investment entities identified under distinguishing legislation, such as investment trusts and venture capital trusts.",
Sector,302050,,,,,
Subsector,30205000,,,Open End and Miscellaneous Investment Vehicles,"Cash shells, Special Purpose Acquisition Company (SPACs), Non corporate investment entities such as open-ended funds, unit trusts and ETFs and currency funds and split capital trusts.",
Sector,3030,,,,,
Sector,303010,,,,,
Subsector,30301010,,,Life Insurance,Companies engaged principally in life and health insurance.,
Sector,303020,,,,,
Subsector,30302010,,,Full Line Insurance,"Companies that provide a wide range of insurance products such as a combination of life, property/casualty, and specialty insurance",
Subsector,30302015,,,Insurance Brokers,Insurance brokers and agents,
Subsector,30302020,,,Reinsurance,Companies engaged principally in reinsurance.,
Subsector,30302025,,,Property and Casualty Insurance,"Companies engaged principally in accident, fire, automotive, marine, malpractice and other classes of nonlife insurance.",
Industry,Real Estate 35,,,,,
Sector,3510,,,,,
Sector,351010,,,,,
Subsector,35101010,,,Real Estate Holding and Development,Companies that invest directly or indirectly in a variety of types of properties without a concentration on any single type,
Subsector,35101015,,,Real Estate Services,"Companies that provide services to real estate companies but do not own the properties themselves. Includes agencies, brokers, leasing companies, management companies and advisory services.",
Sector,351020,,,,,
Subsector,35102000,,,Diversified REITs,REITS that invest in a combination of other defined REIT categories,
Subsector,35102010,,,Health Care REITs,"REITs that primarily invest in health care facilities including hospitals, nursing homes and assisted living properties",
Subsector,35102015,,,Hotel and Lodging REITs,"REITS that primarily invest in hotels, motels, resorts or other lodging properties",
Subsector,35102020,,,Industrial REITs,REITs that primarily invest in industrial properties including industrial warehouses and distribution properties,
Subsector,35102025,,,Infrastructure REITs,"REITS that primarily invest in infrastructure assets including roads, bridges, tunnels, airports, power generation, fuels, pipelines, water and waste management, and communication assets",
Subsector,35102030,,,Office REITs,REITs that primarily invest in office properties,
Subsector,35102040,,,Residential REITs,"REITs that primarily invest in residential properties including manufactured homes, multifamily homes, apartments, and student housing properties",
Subsector,35102045,,,Retail REITs,"REITs that primarily invest in retail properties including malls, shopping centers, neighborhood and community shopping centers, strip malls, free standing stores, and factory outlets",
Subsector,35102050,,,Storage REITs,REITs that primarily invest in public self-storage properties,
Subsector,35102060,,,Timber REITs,REITS that primarily invest in timberland and timber-related products and activities,
Subsector,35102070,,,Other Specialty REITs,REITs that primarily invest in any single type of facility or property not specifically defined within another REITs industry,
Industry,Consumer Discretionary 40,,,,,
Sector,4010,,,,,
Sector,401010,,,,,
Subsector,40101010,,,Auto Services,Companies that provide assistance to individual vehicle owners,
Subsector,40101015,,,Tires,"Manufacturers, distributors and re-treaders of automobile, truck and motorcycle tires.",
Subsector,40101020,,,Automobiles,"Makers of passenger vehicles, including cars, sport utility vehicles (SUVs) and light trucks. Excludes makers of heavy trucks and makers of recreational vehicles (RVs and ATVs).",
Subsector,40101025,,,Auto Parts,"Manufacturers and distributors of new and replacement parts for motorcycles and automobiles, such as engines, carburetors and batteries. Excludes producers of tires, which are classified under Tires.",
Sector,4020,,,,,
Sector,402010,,,,,
Subsector,40201010,,,Education Services,"Companies that own and manage higher education systems, post-secondary degree programs or other educational services",
Subsector,40201020,,,Funeral Parlors and Cemetery,"Companies that own and operate funeral homes, cemeteries, crematoriums and/or provide other funeral services.",
Subsector,40201030,,,Printing and Copying Services,"Companies specializing in printing, copying and/or similar solutions for individuals and small businesses",
Subsector,40201040,,,Rental and Leasing Services: Consumer,"Companies that lease automobiles, appliances, electronics or furniture to consumers",
Subsector,40201050,,,Storage Facilities,Companies that own and operate storage facilities (does not include companies structured as REITs,
Subsector,40201060,,,Vending and Catering Service,Companies that provide catering and food service and/or food ingredients to individuals or institutions,
Subsector,40201070,,,Consumer Services: Misc.,"Consumer Services companies that are not categorized in the Education Services, Funeral Parlors and Cemeteries, Printing and Copying Services, Rental and Leasing Services, Storage Facilities or Vending and Catering Services categories",
Sector,402020,,,,,
Subsector,40202010,,,Home Construction,"Constructors of residential homes, including manufacturers of mobile and prefabricated homes intended for use in one place.",
Subsector,40202015,,,Household Furnishings,"Manufacturers and distributors of furniture, including chairs, tables, desks, and office furniture.",
Subsector,40202020,,,Household Appliance,Companies that manufacture and market household electrical appliances.,
Subsector,40202025,,,Household Equipment and Products,"Companies that manufacture and supply various household products. Includes manufacturers of gardening tools, kitchen utensils, dishes and other home related products",
Sector,402030,,,,,
Subsector,40203010,,,Consumer Electronics,Companies primarily involved in the application of technology and electronics to the consumer discretionary sector.,
Subsector,40203040,,,Electronic Entertainment,"Companies that design, manufacture and market video game software and related elements. Also includes consumer entertainment technology, e.g. Dolby",
Subsector,40203045,,,Toys,"Manufacturers and distributors of toys and games as playing cards, board games, stuffed animals and dolls.",
Subsector,40203050,,,Recreational Products,"Manufacturers and distributors of recreational equipment not classified in other ""Leisure Goods"" categories, including Musical  Instruments",
Subsector,40203055,,,Recreational Vehicles and Boats,"Companies that design, manufacture and market recreation vehicles (RVs), motorcycles or passenger boats",
Subsector,40203060,,,Photography,Companies that produce and/or market professional and/or personal imaging products including digital cameras and film cameras,
Sector,403040,,,,,
Subsector,40204020,,,Clothing and Accessories,"Manufacturers and distributors of all types of clothing and accessories. Includes sportswear, sunglasses, eyeglass frames, leather clothing and goods, and processors of hides and skins. Excludes jewelry, which is categorized under Luxury Items",
Subsector,40204025,,,Footwear,"Manufacturers and distributors of shoes, boots, sandals, sneakers and other types of footwear.",
Subsector,40204030,,,Luxury Items,"Companies that manufacture and market jewelry, watches and gemstones.",
Subsector,40204035,,,Cosmetics,"Companies that produce and market make-up and fragrance products (perfume).  Excludes personal care products, which are classified under Consumer Staples",
Sector,4030,,,,,
Sector,403010,,,,,
Subsector,40301010,,,Entertainment,"Companies that provide various media services including feature films, music and television shows and stations",
Subsector,40301020,,,Media Agencies,"Companies that provide a wide range of marketing and public relations services such as promoting advertising space in telephone and professional directories, analyzing market research and other various marketing activities.  Excluding website design/publishing, which are classified under the Consumer Digital Services Subsector.",
Subsector,40301030,,,Publishing,"Companies that provide advertising and publishing services to customers in industrial, commercial, and design markets.  This includes companies that publish books, magazines, comics, encyclopedias, financial reports, journals and/or newspapers",
Subsector,40301035,,,Radio and TV Broadcasters,Companies with principal activities that include operating commercial TV stations and/or radio broadcasting,
Sector,4040,,,,,
Sector,404010,,,,,
Subsector,40401010,,,Diversified Retailers,Retail outlets and wholesalers offering a wide variety of products including both hard goods and soft goods.,
Subsector,40401020,,,Apparel Retailers,"Retailers and wholesalers specializing mainly in clothing, shoes, jewelry, sunglasses and other accessories.",
Subsector,40401025,,,Home Improvement Retailers,"Retailers and wholesalers concentrating on the sale of home improvement products, including garden equipment, carpets, wallpaper, paint, home furniture, blinds and curtains, and building materials.",
Subsector,40401030,,,Specialty Retailers,"Retailers and wholesalers concentrating on a single class of goods, such as electronics, books, automotive parts or closeouts. Includes automobile dealerships, duty-free shops and automotive fuel stations not owned by oil companies.  Excludes Apparel and Home Improvement Retailers",
Sector,4050,,,,,
Sector,405010,,,,,
Subsector,40501010,,,Airlines,"Companies providing primarily passenger air transport. Excludes airport operators and air freight transport, which are classified under 50206040 - Delivery Services.",
Subsector,40501015,,,Travel and Tourism,"Companies providing travel and tourism related services, including travel agents, online travel reservation services, and companies that provide passenger transportation for leisure are included, such as tour buses, leisure cruisers and railways, and taxis. Excludes mass public transportation services which are classified under Industrial Transportation Sector.",
Subsector,40501020,,,Casinos and Gambling,"Providers of gambling and casino facilities. Includes online casinos, racetracks and the manufacturers of pachinko machines and casino and lottery equipment.",
Subsector,40501025,,,Hotels and Motels,"Operators and managers of hotels, motels, lodges, resorts, spas and campgrounds.",
Subsector,40501030,,,Recreational Services,"Providers of leisure facilities and services, including fitness centers, amusement parks, concerts and sports/e-sports event promotion. Also includes companies that own and manage professional sports teams.",
Subsector,40501040,,,Restaurants and Bars,"Operators of restaurants, fast-food facilities, coffee shops and bars. Includes integrated brewery companies.  Excludes catering companies, which are classified as Vending and Catering Service.",
Industry,Consumer Staples 45,,,,,
Sector,4510,,,,,
Sector,451010,,,,,
Subsector,45101010,,,Brewers,"Manufacturers and shippers of cider or malt products such as beer, ale and stout.",
Subsector,45101015,,,Distillers and Vintners,"Producers, distillers, vintners, blenders and shippers of wine and spirits such as whisky, brandy, rum, gin or liqueurs.",
Subsector,45101020,,,Soft Drinks,"Manufacturers, bottlers and distributors of non-alcoholic beverages, such as soda, fruit juices, tea, coffee and bottled water.",
Sector,451020,,,,,
Subsector,45102010,,,"Farming, Fishing, Ranching and Plantations","Companies that grow crops or raise livestock, operate fisheries or own nontobacco plantations. Includes manufacturers of livestock feeds and seeds and other agricultural products",
Subsector,45102020,,,Food Products,"Food producers, including meatpacking, snacks, fruits, vegetables, dairy products and frozen seafood. Includes producers of pet food and manufacturers of dietary supplements, vitamins and related items. Excludes producers of fruit juices, tea, coffee, bottled water and other non-alcoholic beverages, which are classified under Soft Drinks.",
Subsector,45102030,,,Fruit and Grain Processing,"Companies involved in the value-adding process of various ""raw"" or ""unprocessed"" agricultural products.  May also produce and market such products.",
Subsector,45102035,,,Sugar,"Companies that grow, refine, process and distribute sugar",
Sector,451030,,,,,
Subsector,45103010,,,Tobacco,"Manufacturers and distributors of cigarettes, cigars and other tobacco products. Includes tobacco plantations.",
Sector,4520,,,,,
Sector,452010,,,,,
Subsector,45201010,,,Food Retailers and Wholesalers,"Supermarkets, food-oriented convenience stores and other food retailers and distributors. Includes retailers of dietary supplements and vitamins.",
Subsector,45201015,,,Drug Retailers,"Operators of pharmacies, including wholesalers and distributors catering to these businesses.",
Subsector,45201020,,,Personal Products,"Makers and distributors of toiletries and personal-care and hygiene products, including deodorants, soaps, toothpaste, perfumes, diapers, shampoos, razors, condoms and feminine-hygiene products. Excludes makers of hormonal (oral or injection) and implants (intrauterine devices) and contraceptives, which are classified under the Pharmaceuticals Subsector.",
Subsector,45201030,,,Nondurable Household Products,"Producers and distributors of pens, paper goods, batteries, light bulbs, tissues, toilet paper and cleaning products such as soaps and polishes.",
Subsector,45201040,,,Miscellaneous Consumer Staple Goods,Includes Consumer Staples companies that are not classified in any other Consumer Staples industry,
Industry,Industrials 50,,,,,
Sector,5010,,,,,
Sector,501010,,,,,
Subsector,50101010,,,Construction,Companies that provide construction and infrastructure development services to private and/or public sector clients.,
Subsector,50101015,,,Engineering and Contracting Services,"Companies that provide capital project planning and solutions.  Includes engineering contracts, infrastructure development, bid preparation, interior enhancement designs and architects.",
Subsector,50101020,,,"Building, Roofing/Wallboard and Plumbing","Companies that design, manufacture, market and/or install non-climate control systems and related products such as siding, windows and water pipes.",
Subsector,50101025,,,Building: Climate Control,"Companies that design, manufacture, market and/or install air conditioning, heating and/or refrigeration systems",
Subsector,50101030,,,Cement,Companies primarily engaged in manufacturing and distributing cement and cement-derived products,
Subsector,50101035,,,Building Materials: Other,"Companies that provide materials to the building and construction industry, excluding air-conditioning, cement, heating, plumbing, roofing, and wall boards",
Sector,5020,,,,,
Sector,502010,,,,,
Subsector,50201010,,,Aerospace,"Manufacturers, assemblers and distributors of aircraft and aircraft parts, including communication satellite,  used in commercial or private air and/or space transport.",
Subsector,50201020,,,Defense,"Producers of components and equipment for the defense industry, including military aircraft, radar equipment and weapons. Also included are companies that primarily provide services to the defense industry.",
Sector,502020,,,,,
Subsector,50202010,,,Electrical Components,"Makers and distributors of basic electrical parts for finished products such as radios, televisions and other consumer electronics. Includes makers of cables, wires, ceramics, transistors, and electric adapters. Excludes communications-related equipment, which are classified under Telecommunications Equipment and makers of high-technology parts, which are classified under Electronic Components Subsector.",
Subsector,50202020,,,Electronic Equipment: Control and Filter,Companies primarily  involved in providing mechanical and electronic security and/or filtration systems,
Subsector,50202025,,,Electronic Equipment: Gauges and Meters,"Companies that design, manufacture and market products used to measure electric, gas, water, imaging, and other data for use in a variety of industries.",
Subsector,50202030,,,Electronic Equipment: Pollution Control,Companies primarily engaged in the production of pollution control equipment for purification of air and liquids.,
Subsector,50202040,,,Electronic Equipment: Other,Companies that specialize in the development and production of electrical devices/components marketed to business clients.,
Sector,502030,,,,,
Subsector,50203000,,,Diversified Industrials,"Companies engaged in three or more industrial business activities, none of which is the dominant business line",
Subsector,50203010,,,Paints and Coatings,"Companies that manufacture and distribute paint, material coatings, and resins",
Subsector,50203015,,,Plastics,Companies that manufacture and market plastic products or chemicals used to make plastic,
Subsector,50203020,,,Glass,"Companies that manufacture various structural glasses such as float glass, architectural glass, delicacy glass, automotive glass, and other glass products. Glass containers/bottles prepared for other markets are classified in 50203030 - Containers and Packaging. Specialized glass for application in electronics are classified in 10102015 - Electronic Components.",
Subsector,50203030,,,Containers and Packaging,"Companies that may produces a wide range of packaging products and packaging related materials, including  cartons, plastic bottles, jars, glass bottles,  aluminum cans, dispensing pumps, aerosol valves, etc.",
Sector,502040,,,,,
Subsector,50204000,,,Machinery: Industrial,"Companies that design, develop, manufacture, sell, and support general industrial machines and parts. This excludes all the other machinery subsectors specified",
Subsector,50204010,,,Machinery: Agricultural,"Manufacturers and distributers of a range of farming equipment for irrigation, harvesting, plowing and other processes",
Subsector,50204020,,,Machinery: Construction and Handling,"Companies that design, manufacture and market large-size industrial equipment for construction and ports.",
Subsector,50204030,,,Machinery: Engines,"Companies that manufacture and distribute energy output devices and component parts, including diesel engines and gas engines",
Subsector,50204040,,,Machinery: Tools,Companies that manufactures and market value-adding equipment for various heavy industries,
Subsector,50204050,,,Machinery: Specialty,"Companies that design, manufacture and market a specific type or Sector of industrial machines and parts. This excludes all the other Machinery industries categorized in the Machinery subsector.",
Sector,502050,,,,,
Subsector,50205010,,,Industrial Suppliers,Distributors and wholesalers of diversified products and equipment primarily used in the commercial and industrial sectors. Includes builder’s merchants and companies providing  Maintenance/Repair services.,
Subsector,50205015,,,Transaction Processing Services,"Providers of computerized transaction processing services. Includes companies that engages in any aspects of global payment services such as routing of payment information and related data services that facilitate the authorization, clearing, and settlement of transactions. Includes card network operators, issuer and acquirer processors.",
Subsector,50205020,,,Professional Business Support Services,"Companies that provide outsourced business operation services. This includes consulting services, corporate taxes, and business decision tools such as credit monitoring and KYC database service. Credit Agencies and Rating firms are classified under the Financial Data Providers Subsector.",
Subsector,50205025,,,Business Training and Employment Agencies,Providers of business or management training courses and employment services. Includes online job search companies.,
Subsector,50205030,,,Forms and Bulk Printing Services,"Companies that provide printed business products including forms, checks, labels and IDs",
Subsector,50205040,,,Security Services,"Companies that provide security services, install, service and monitor alarm and security systems.",
Sector,502060,,,,,
Subsector,50206010,,,Trucking,"Companies that provide commercial trucking or mass public bus services. Excludes road and tunnel operators, which are classified under Transportation Services Subsector.",
Subsector,50206015,,,Commercial Vehicles and Parts,"Companies that design, develop, manufacture, and distribute light, medium and heavy duty trucks and vans.  Also includes related aftermarket distribution of parts",
Subsector,50206020,,,Railroads,Companies that operate railway systems for transporting goods and mass public rail services.,
Subsector,50206025,,,Railroad Equipment,"Companies that manufacture, supply and distribute railroad supplies",
Subsector,50206030,,,Marine Transportation,"Providers of on-water transportation for commercial markets, such as container shipping. Also includes shipbuilders. Excludes ports, which are classified under Transportation Services.",
Subsector,50206040,,,Delivery Services,Operators of mail and package delivery services for commercial and consumer use. Includes courier and logistic services primarily involving air transportation.,
Subsector,50206050,,,Commercial Vehicle-Equipment Leasing,"Companies that rents and lease operational equipment to commercial clients, such as: rails, tankers, freight cars, related equipment plus aviation assets (jets and airplanes).",
Subsector,50206060,,,Transportation Services,"Companies providing services to the Industrial Transportation sector, including companies that manage airports, train depots, roads, bridges, tunnels, ports, and providers of logistic services to shippers of goods. Includes companies that provide aircraft and vehicle maintenance services.",
Industry,Basic Materials 55,,,,,
Sector,5510,,,,,
Sector,551010,,,,,
Subsector,55101000,,,Diversified Materials,"Companies involved in manufacturing a diversified range of  materials (e.g.,  bauxite, abrasive materials and composite material)",
Subsector,55101010,,,Forestry,"Owners and operators of timber tracts, forest tree nurseries and sawmills. Excludes providers of finished wood products such as wooden beams, which are classified under Building Materials.  Also excludes timber REITs, which are classified under Real Estate.",
Subsector,55101015,,,Paper,"Companies that manufacture and market paper products including office paper, cardboard, tissue paper, newsprint, commercial pulp, etc.",
Subsector,55101020,,,Textile Products,"Companies that produce and distribute various textile products such as cotton yarns, denims, and other finished fabrics.",
Sector,551020,,,,,
Subsector,55102000,,,General Mining,"Companies engaged in the exploration, extraction or refining of minerals not defined elsewhere within the Mining sector. Also includes companies engaged in diversified metals and mining, marketing of mining commodities,and providers of contracted drilling services. Excludes companies that primarily provide services to Oil and Gas companies which are classified in the Oil Equipment and Services Subsector and companies that mine, process and market coal, which are classified under Coal Subsector.",
Subsector,55102010,,,Iron and Steel,"Companies that mine for iron ore and companies that produce, process, and distribute steel products.  This can include welding consumables, strip steel, rods, bars, wires, piping, tubing, rails, and structural products as well as sheets and coils",
Subsector,55102015,,,Metal Fabricating,"Companies that manufacture and supply fabricated metal components such as, rings, piping materials, hinges, springs,   etc.",
Subsector,55102035,,,Aluminum,"Companies that mine or process bauxite or manufacture and distribute aluminum bars, rods and other products for use by other industries. Excludes manufacturers of finished aluminum products, such as siding, which are categorized according to the type of end product.",
Subsector,55102040,,,Copper,"Companies primarily involved in the mining, extraction and distribution of copper and related minerals",
Subsector,55102050,,,Nonferrous Metals,"Producers and traders of metals and primary metal products other than iron, aluminum and steel. Excludes companies that make finished products, which are categorized according to the type of end product.",
Sector,551030,,,,,
Subsector,55103020,,,Diamonds and Gemstones,Companies engaged in the exploration for and production of diamonds and other gemstones.,
Subsector,55103025,,,Gold Mining,Prospectors for and extractors or refiners of gold-bearing ores.,
Subsector,55103030,,,Platinum and Precious Metals,"Companies engaged in the exploration for and production of platinum, silver and other precious metals not defined elsewhere.",
Sector,5520,,,,,
Sector,552010,,,,,
Subsector,55201000,,,Chemicals: Diversified,Companies that manufacture and market a diversified range of industrial chemicals,
Subsector,55201010,,,Chemicals and Synthetic Fibers,Companies that manufacture and distribute chemical fibers for various applications,
Subsector,55201015,,,Fertilizers,Companies that manufacture and market nitrogen fertilizers and other agricultural chemicals,
Subsector,55201020,,,Specialty Chemicals,Companies that manufacture and market a specific type or Sector of chemicals elsewhere in the Chemicals subsector,
Industry,Energy 60,,,,,
Sector,6010,,,,,
Sector,601010,,,,,
Subsector,60101000,,,Integrated Oil and Gas,"Companies that engage in all three fields of petroleum production: Extraction (upstream), Transportation (midstream), and Refining and Marketing (downstream).",
Subsector,60101010,,,Oil: Crude Producers,"Companies engaged in the exploration for and drilling, production, and supply of crude oil on land",
Subsector,60101015,,,Offshore Drilling and Other Services,Companies that primarily explore and drill for oil and gas in offshore areas.,
Subsector,60101020,,,Oil Refining and Marketing,Companies primarily engaged in the refining and marketing of petroleum products (downstream).,
Subsector,60101030,,,Oil Equipment and Services,"Suppliers of equipment and services to oil fields and offshore platforms, such as drilling, exploration, seismic-information services and platform construction.",
Subsector,60101035,,,Pipelines,"Operators of pipelines carrying oil, gas or other forms of fuel. Excludes pipeline operators that derive the majority of their revenues from direct sales to end users, which are classified under Gas Distribution.",
Subsector,60101040,,,Coal,"Companies that mine, process and market coal",
Sector,601020,,,,,
Subsector,60102010,,,Alternative Fuels,"Companies that produce alternative fuels such as ethanol, methanol, hydrogen and bio-fuels that are mainly used to power vehicles, and companies that are involved in the production of vehicle fuel cells and/or the development of alternative fueling infrastructure.",
Subsector,60102020,,,Renewable Energy Equipment,"Companies that develop or manufacture renewable energy equipment utilizing sources such as solar, wind, tidal, geothermal, hydro and waves.",
Industry,Utilities 65,,,,,
Sector,6510,,,,,
Sector,651010,,,,,
Subsector,65101010,,,Alternative Electricity,"Companies generating and distributing electricity from a renewable source. Includes companies that produce solar, water, wind and geothermal electricity.",
Subsector,65101015,,,Conventional Electricity,"Companies generating and distributing electricity through the burning of fossil fuels such as coal, petroleum and natural gas, and through nuclear energy.",
Sector,651020,,,,,
Subsector,65102000,,,Multi-Utilities,Companies that engage in multiple utilities that have no particular dominance over one another.,
Subsector,65102020,,,Gas Distribution,"Distributors of gas to end users. Excludes providers of natural gas as a commodity, which are classified under the Oil and Gas industry.",
Subsector,65102030,,,Water,"Companies providing water to end users, including water treatment plants.",
Subsector,65103035,,,Waste and Disposal Services,"Providers of pollution control and environmental services for the management, recovery and disposal of solid and hazardous waste materials, such as landfills and recycling centers. Excludes manufacturers of industrial air and water filtration equipment, which are classified under Industrial Machinery.",
